date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2010-01-04,sh.600176,3.4133590400,3.4462500800,3.3603679200,3.4224954400,3.4133590400,4271536,79577118.0000,2,0.999442,1,0.267700,0
2010-01-05,sh.600176,3.4298045600,3.7641968000,3.4170136000,3.7641968000,3.4224954400,20301139,407803731.0000,2,4.750004,1,9.984000,0
2010-01-06,sh.600176,3.7440967200,3.8738336000,3.6856237600,3.7367876000,3.7641968000,12613456,262281817.0000,2,2.951262,1,-0.728200,0
2010-01-07,sh.600176,3.7276512000,3.8646972000,3.6545600000,3.7641968000,3.7367876000,9893422,203647004.0000,2,2.314836,1,0.733500,0
2010-01-08,sh.600176,3.7185148000,4.0529070400,3.7002420000,3.8921064000,3.7641968000,18567560,395296186.0000,2,4.344386,1,3.398100,0
2010-01-11,sh.600176,3.8007424000,4.1296528000,3.8007424000,4.1004163200,3.8921064000,18868976,407809091.0000,2,4.414911,1,5.352100,0
2010-01-12,sh.600176,4.0748344000,4.1460983200,3.9962613600,4.0711798400,4.1004163200,10795262,240094551.0000,2,2.525846,1,-0.713000,0
2010-01-13,sh.600176,3.9615430400,4.2118804000,3.9615430400,4.1680256800,4.0711798400,13057022,295939201.0000,2,3.055046,1,2.378800,0
2010-01-14,sh.600176,4.1223436800,4.1223436800,3.9798158400,4.0510797600,4.1680256800,11487950,254357736.0000,2,2.687919,1,-2.805800,0
2010-01-15,sh.600176,4.0455979200,4.1259982400,3.9103792000,3.9560612000,4.0510797600,13576052,297423177.0000,2,3.176487,1,-2.345500,0
2010-01-18,sh.600176,3.9286520000,4.0364615200,3.8939336800,3.9779885600,3.9560612000,10111962,219431348.0000,2,2.365969,1,0.554300,0
2010-01-19,sh.600176,3.9779885600,4.1698529600,3.9560612000,4.1314800800,3.9779885600,9622707,214466232.0000,2,2.251494,1,3.858500,0
2010-01-20,sh.600176,4.1479256000,4.1570620000,3.7422694400,3.7970878400,4.1314800800,10472906,224415768.0000,2,2.450422,1,-8.093800,0
2010-01-21,sh.600176,3.8043969600,3.8043969600,3.6563872800,3.7733332000,3.7970878400,6359698,130132884.0000,2,1.488025,1,-0.625600,0
2010-01-22,sh.600176,3.7367876000,3.7824696000,3.5266504000,3.5759869600,3.7733332000,5670126,112800517.0000,2,1.326680,1,-5.230000,0
2010-01-25,sh.600176,3.6125325600,3.6308053600,3.4864502400,3.5796415200,3.5759869600,4155649,81708941.0000,2,0.972327,1,0.102200,0
2010-01-26,sh.600176,3.6234962400,3.6289780800,3.2891040000,3.3494042400,3.5796415200,6426634,121114578.0000,2,1.503686,1,-6.431900,0
2010-01-27,sh.600176,3.3530588000,3.4023953600,3.2690039200,3.2726584800,3.3494042400,7971695,145689825.0000,2,1.865195,1,-2.291300,0
2010-01-28,sh.600176,3.2671766400,3.3366132800,3.2525584000,3.2872767200,3.2726584800,4587511,82660573.0000,2,1.073373,1,0.446700,0
2010-01-29,sh.600176,3.3073768000,3.4115317600,3.2726584800,3.3603679200,3.2872767200,6325922,116371768.0000,2,1.480122,1,2.223500,0
2010-02-01,sh.600176,3.3603679200,3.3749861600,3.1301306400,3.1392670400,3.3603679200,6975078,122094227.0000,2,1.632009,1,-6.579700,0
2010-02-02,sh.600176,3.1794672000,3.2543856800,3.1611944000,3.1776399200,3.1392670400,4908783,86549938.0000,2,1.148543,1,1.222400,0
2010-02-03,sh.600176,3.1776399200,3.2982404000,3.1337852000,3.2872767200,3.1776399200,3190400,56226322.0000,2,0.746481,1,3.450300,0
2010-02-04,sh.600176,3.2891040000,3.3128586400,3.2452492800,3.2580402400,3.2872767200,5009082,89841065.0000,2,1.172011,1,-0.889400,0
2010-02-05,sh.600176,3.1666762400,3.1794672000,3.0954123200,3.1301306400,3.2580402400,4788245,82330682.0000,2,1.120340,1,-3.926000,0
2010-02-08,sh.600176,3.1575398400,3.1575398400,3.0515576000,3.0643485600,3.1301306400,2730612,46004385.0000,2,0.638901,1,-2.101600,0
2010-02-09,sh.600176,3.0643485600,3.1940854400,3.0643485600,3.1301306400,3.0643485600,3233294,55424033.0000,2,0.756517,1,2.146700,0
2010-02-10,sh.600176,3.1776399200,3.2470765600,3.1392670400,3.2452492800,3.1301306400,3253439,57030072.0000,2,0.761231,1,3.677800,0
2010-02-11,sh.600176,3.2434220000,3.3676770400,3.2415947200,3.3018949600,3.2452492800,4434851,80828311.0000,2,1.037654,1,1.745500,0
2010-02-12,sh.600176,3.3018949600,3.4389409600,3.3018949600,3.4298045600,3.3018949600,4751519,88148508.0000,2,1.111747,1,3.873800,0
2010-02-22,sh.600176,3.4334591200,3.5175140000,3.3165132000,3.4626956000,3.4298045600,6252504,117631514.0000,2,1.462944,1,0.959000,0
2010-02-23,sh.600176,3.4097044800,3.5522323200,3.4097044800,3.4974139200,3.4626956000,6186548,117984477.0000,2,1.447511,1,1.002600,0
2010-02-24,sh.600176,3.4882775200,3.6253235200,3.4535592000,3.5942597600,3.4974139200,6633281,129542104.0000,2,1.552037,1,2.769100,0
2010-02-25,sh.600176,3.5960870400,3.6180144000,3.5449232000,3.5686778400,3.5942597600,5715954,111833011.0000,2,1.337403,1,-0.711700,0
2010-02-26,sh.600176,3.5814688000,3.5851233600,3.4389409600,3.5211685600,3.5686778400,8797864,169376239.0000,2,2.058500,1,-1.331300,0
2010-03-01,sh.600176,3.5211685600,3.5376140800,3.4170136000,3.4700047200,3.5211685600,7605605,144323846.0000,2,1.779538,1,-1.453000,0
2010-03-02,sh.600176,3.4992412000,3.8171879200,3.4499046400,3.7459240000,3.4700047200,15676431,315579451.0000,2,3.667928,1,7.951600,0
2010-03-03,sh.600176,3.7422694400,3.7788150400,3.6417690400,3.7587149600,3.7459240000,7044109,143402166.0000,2,1.648161,1,0.341500,0
2010-03-04,sh.600176,3.7623695200,3.9341338400,3.6545600000,3.7459240000,3.7587149600,11842872,244811512.0000,2,2.770962,1,-0.340300,0
2010-03-05,sh.600176,3.7130329600,3.7641968000,3.6545600000,3.7221693600,3.7459240000,4841553,98491074.0000,2,1.132813,1,-0.634100,0
2010-03-08,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-09,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-10,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-11,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-12,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-15,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-16,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-17,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-18,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-19,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-22,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-23,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-24,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-25,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-26,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-29,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-30,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-03-31,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-04-01,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-04-02,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-04-06,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-04-07,sh.600176,3.7221693600,3.7221693600,3.7221693600,3.7221693600,3.7221693600,0,0.0000,2,,0,0.000000,0
2010-04-08,sh.600176,4.0949344800,4.0949344800,4.0949344800,4.0949344800,3.7221693600,3556412,79699193.0000,2,0.832119,1,10.014700,0
2010-04-09,sh.600176,4.1936076000,4.2867988800,3.9140337600,3.9980886400,4.0949344800,20318222,446983227.0000,2,4.754001,1,-2.365000,0
2010-04-12,sh.600176,3.9560612000,3.9670248800,3.7660240800,3.7733332000,3.9980886400,11405393,239640797.0000,2,2.668602,1,-5.621600,0
